Ticker,Company,Sector,# Employees
HII,"Huntington Ingalls Industries, Inc.",Electronic Technology,"              42,000"
MGM,MGM Resorts International,Consumer Services,"              42,000"
MHK,"Mohawk Industries, Inc.",Consumer Durables,"              42,000"
PRU,"Prudential Financial, Inc.",Finance,"              41,671"
EPAM,"EPAM Systems, Inc.",Technology Services,"              41,168"
GS,"Goldman Sachs Group, Inc. (The)",Finance,"              40,500"
CTAS,Cintas Corporation,Consumer Services,"              40,000"
HAL,Halliburton Company,Industrial Services,"              40,000"
STX,Seagate Technology Holdings PLC,Electronic Technology,"              40,000"
VFC,V.F. Corporation,Consumer Non-Durables,"              40,000"
STT,State Street Corporation,Finance,"              39,439"
ADM,Archer-Daniels-Midland Company,Process Industries,"              39,088"
LDOS,"Leidos Holdings, Inc.",Technology Services,"              39,000"
LUMN,"Lumen Technologies, Inc.",Communications,"              39,000"
BSX,Boston Scientific Corporation,Health Technology,"              38,000"
KHC,The Kraft Heinz Company,Consumer Non-Durables,"              38,000"
YUM,"Yum! Brands, Inc.",Consumer Services,"              38,000"
ULTA,"Ulta Beauty, Inc.",Retail Trade,"              37,000"
PWR,"Quanta Services, Inc.",Industrial Services,"              35,800"
DOW,Dow Inc.,Process Industries,"              35,700"
LLY,Eli Lilly and Company,Health Technology,"              35,000"
GIS,"General Mills, Inc.",Consumer Non-Durables,"              35,000"
RSG,"Republic Services, Inc.",Industrial Services,"              35,000"
TT,Trane Technologies plc,Producer Manufacturing,"              35,000"
NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Services,"              34,300"
CL,Colgate-Palmolive Company,Consumer Non-Durables,"              34,200"
DD,"DuPont de Nemours, Inc.",Process Industries,"              34,000"
PVH,PVH Corp.,Consumer Non-Durables,"              33,000"
TXT,Textron Inc.,Electronic Technology,"              33,000"
AJG,Arthur J. Gallagher & Co.,Finance,"              32,401"
EXC,Exelon Corporation,Utilities,"              32,340"
AVY,Avery Dennison Corporation,Process Industries,"              32,000"
SCHW,Charles Schwab Corporation (The),Finance,"              32,000"
CB,Chubb Limited,Finance,"              31,000"
K,Kellogg Company,Consumer Non-Durables,"              31,000"
NWL,Newell Brands Inc.,Producer Manufacturing,"              31,000"
UNP,Union Pacific Corporation,Transportation,"              30,960"
TRV,"The Travelers Companies, Inc.",Finance,"              30,600"
JBHT,"J.B. Hunt Transport Services, Inc.",Transportation,"              30,309"
BMY,Bristol-Myers Squibb Company,Health Technology,"              30,250"
TXN,Texas Instruments Incorporated,Electronic Technology,"              30,000"
NXPI,NXP Semiconductors N.V.,Electronic Technology,"              29,000"
NEM,Newmont Corporation,Non-Energy Minerals,"              27,800"
SO,Southern Company (The),Utilities,"              27,700"
DUK,Duke Energy Corporation (Holding Company),Utilities,"              27,535"
FBHS,"Fortune Brands Home & Security, Inc.",Producer Manufacturing,"              27,500"
WYNN,"Wynn Resorts, Limited",Consumer Services,"              27,500"
AMAT,"Applied Materials, Inc.",Producer Manufacturing,"              27,000"
WAB,Westinghouse Air Brake Technologies Corporation,Producer Manufacturing,"              27,000"
KMX,CarMax Inc,Retail Trade,"              26,889"
PYPL,"PayPal Holdings, Inc.",Technology Services,"              26,500"
CERN,Cerner Corporation,Technology Services,"              26,400"
NUE,Nucor Corporation,Non-Energy Minerals,"              26,400"
PCAR,PACCAR Inc.,Producer Manufacturing,"              26,000"
ADI,"Analog Devices, Inc.",Electronic Technology,"              24,700"
FCX,"Freeport-McMoRan, Inc.",Non-Energy Minerals,"              24,500"
ROK,"Rockwell Automation, Inc.",Producer Manufacturing,"              24,500"
AMGN,Amgen Inc.,Health Technology,"              24,300"
GPN,Global Payments Inc.,Technology Services,"              24,000"
IRM,Iron Mountain Incorporated (Delaware),Finance,"              24,000"
NWSA,News Corporation,Consumer Services,"              24,000"
NWS,News Corporation,Consumer Services,"              24,000"
GWW,"W.W. Grainger, Inc.",Distribution Services,"              23,100"
DOV,Dover Corporation,Producer Manufacturing,"              23,000"
SPGI,S&P Global Inc.,Commercial Services,"              23,000"
VIAC,ViacomCBS Inc.,Consumer Services,"              22,109"
ALK,"Alaska Air Group, Inc.",Transportation,"              21,997"
BLL,Ball Corporation,Process Industries,"              21,500"
V,Visa Inc.,Finance,"              21,500"
CZR,"Caesars Entertainment, Inc.",Consumer Services,"              21,000"
CTVA,"Corteva, Inc.",Process Industries,"              21,000"
MA,Mastercard Incorporated,Finance,"              21,000"
NTRS,Northern Trust Corporation,Finance,"              20,900"
APD,"Air Products and Chemicals, Inc.",Process Industries,"              20,875"
FAST,Fastenal Company,Distribution Services,"              20,365"
BKNG,Booking Holdings Inc. Common Stock,Consumer Services,"              20,300"
RL,Ralph Lauren Corporation,Retail Trade,"              20,300"
RJF,"Raymond James Financial, Inc.",Finance,"              20,021"
AVGO,Broadcom Inc.,Electronic Technology,"              20,000"
HRL,Hormel Foods Corporation,Consumer Non-Durables,"              20,000"
ZBH,"Zimmer Biomet Holdings, Inc.",Health Technology,"              20,000"
FITB,Fifth Third Bancorp,Finance,"              19,872"
ODFL,"Old Dominion Freight Line, Inc.",Transportation,"              19,779"
HWM,Howmet Aerospace Inc.,Electronic Technology,"              19,700"
MCHP,Microchip Technology Incorporated,Electronic Technology,"              19,500"
RF,Regions Financial Corporation,Finance,"              19,406"
CSX,CSX Corporation,Transportation,"              19,300"
LYB,LyondellBasell Industries NV,Process Industries,"              19,200"
EXPE,"Expedia Group, Inc.",Consumer Services,"              19,100"
HSIC,"Henry Schein, Inc.",Distribution Services,"              19,000"
NVDA,NVIDIA Corporation,Electronic Technology,"              18,975"
CAG,"ConAgra Brands, Inc.",Consumer Non-Durables,"              18,600"
HIG,"Hartford Financial Services Group, Inc. (The)",Finance,"              18,500"
CRL,"Charles River Laboratories International, Inc.",Commercial Services,"              18,400"
ROP,"Roper Technologies, Inc.",Technology Services,"              18,400"
PENN,"Penn National Gaming, Inc.",Consumer Services,"              18,321"
URI,"United Rentals, Inc.",Finance,"              18,250"
ALGN,"Align Technology, Inc.",Health Technology,"              18,070"
MAS,Masco Corporation,Producer Manufacturing,"              18,000"
MSI,"Motorola Solutions, Inc.",Electronic Technology,"              18,000"
DFS,Discover Financial Services,Finance,"              17,600"
CFG,"Citizens Financial Group, Inc.",Finance,"              17,584"
EXPD,"Expeditors International of Washington, Inc.",Transportation,"              17,480"
PFG,Principal Financial Group Inc,Finance,"              17,400"
CTLT,"Catalent, Inc.",Health Technology,"              17,300"
D,"Dominion Energy, Inc.",Utilities,"              17,300"
MTB,M&T Bank Corporation,Finance,"              17,076"
A,"Agilent Technologies, Inc.",Health Technology,"              17,000"
FTV,Fortive Corporation,Electronic Technology,"              17,000"
TAP,Molson Coors Beverage Company,Consumer Non-Durables,"              17,000"
HSY,The Hershey Company,Consumer Non-Durables,"              16,880"
AEP,"American Electric Power Company, Inc.",Utilities,"              16,787"
XYL,Xylem Inc.,Producer Manufacturing,"              16,700"
UAA,"Under Armour, Inc.",Consumer Non-Durables,"              16,600"
UA,"Under Armour, Inc.",Consumer Non-Durables,"              16,600"
AME,"AMETEK, Inc.",Producer Manufacturing,"              16,500"
BLK,"BlackRock, Inc.",Finance,"              16,500"
MTD,"Mettler-Toledo International, Inc.",Health Technology,"              16,500"
SEE,Sealed Air Corporation,Process Industries,"              16,500"
SYF,Synchrony Financial,Finance,"              16,500"
TPR,"Tapestry, Inc.",Retail Trade,"              16,400"
SNPS,"Synopsys, Inc.",Technology Services,"              16,361"
GRMN,Garmin Ltd.,Electronic Technology,"              16,000"
INFO,IHS Markit Ltd.,Technology Services,"              16,000"
IR,Ingersoll Rand Inc.,Producer Manufacturing,"              15,900"
ROL,"Rollins, Inc.",Consumer Services,"              15,616"
IT,"Gartner, Inc.",Technology Services,"              15,600"
PKG,Packaging Corporation of America,Process Industries,"              15,200"
XRAY,DENTSPLY SIRONA Inc.,Health Technology,"              15,000"
PAYX,"Paychex, Inc.",Technology Services,"              15,000"
EW,Edwards Lifesciences Corporation,Health Technology,"              14,900"
CHRW,"C.H. Robinson Worldwide, Inc.",Transportation,"              14,888"
SRE,DBA Sempra,Utilities,"              14,706"
EMN,Eastman Chemical Company,Process Industries,"              14,500"
DPZ,Domino’s Pizza Inc,Consumer Services,"              14,400"
KEYS,Keysight Technologies Inc.,Electronic Technology,"              14,300"
PSX,Phillips 66,Energy Minerals,"              14,300"
AIZ,"Assurant, Inc.",Finance,"              14,100"
CPB,Campbell Soup Company,Consumer Non-Durables,"              14,100"
LRCX,Lam Research Corporation,Electronic Technology,"              14,100"
ED,"Consolidated Edison, Inc.",Utilities,"              14,071"
PKI,"PerkinElmer, Inc.",Health Technology,"              14,000"
TFX,Teleflex Incorporated,Health Technology,"              14,000"
AOS,A.O. Smith Corporation,Producer Manufacturing,"              13,900"
NEE,"NextEra Energy, Inc.",Utilities,"              13,800"
BR,"Broadridge Financial Solutions, Inc.",Technology Services,"              13,704"
IFF,"International Flavors & Fragrances, Inc.",Consumer Non-Durables,"              13,700"
GILD,"Gilead Sciences, Inc.",Health Technology,"              13,600"
DISH,DISH Network Corporation,Consumer Services,"              13,500"
INTU,Intuit Inc.,Technology Services,"              13,500"
